Price,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District,Negotiation Type,Latitude,Longitude
468000,352.0,68,2,2,1,1,True,False,True,False,Jaçanã,sale,-23.4657025,-46.585427
4000,772.0,96,3,2,1,2,True,True,True,False,Santo Amaro,rent,-23.6468196,-46.7012713
447000,500.0,59,2,2,1,1,True,False,True,False,Santa Cecília,sale,-23.532864,-46.651301
4500,1200.0,134,3,5,3,2,True,False,False,False,Campo Grande,rent,-23.669173,-46.695685
3600,1400.0,138,2,3,2,2,False,False,True,False,Lapa,rent,-23.5300281,-46.7035629
1509,750.0,85,3,2,1,2,True,True,True,False,Cidade Ademar,rent,-23.677463,-46.673197
320000,400.0,56,3,1,0,1,False,False,False,False,Casa Verde,sale,-23.4812053,-46.6489031
3500,706.0,93,3,3,1,2,True,False,True,False,Saúde,rent,-23.610486,-46.617758
4000,1451.0,200,4,4,3,2,False,False,False,False,Cidade Dutra,rent,-23.714197,-46.702117
189000,220.0,37,2,2,1,1,True,False,True,False,Liberdade,sale,-23.554289,-46.630816
980000,1300.0,115,3,2,1,1,True,False,False,False,Brooklin,sale,-23.6126951,-46.6786961
169000,70.0,58,2,2,1,1,False,False,False,False,Guaianazes,sale,-23.564266,-46.404911
3000,1500.0,135,4,4,1,3,True,False,False,False,Campo Grande,rent,-23.66552,-46.686232
84000,140.0,49,2,1,0,1,False,True,False,False,Cidade Tiradentes,sale,-23.593411850000003,-46.402446499999996
510000,650.0,85,2,2,1,1,False,False,False,False,Santa Cecília,sale,-23.536795,-46.652111
1750,530.0,56,1,1,0,1,False,False,False,False,Cambuci,rent,-23.5720678,-46.6206459
450000,500.0,61,3,2,1,1,True,False,True,False,Pari,sale,-23.52472,-46.603524
285000,402.0,62,2,2,1,1,False,False,False,False,Sacomã,sale,-23.649413,-46.599796
1800000,1440.0,163,3,4,3,4,True,False,True,False,Vila Mariana,sale,-23.591719,-46.634617
1850,560.0,82,3,2,1,2,False,False,True,False,Vila Matilde,rent,-23.5356455,-46.5243815
1100,390.0,70,2,2,1,1,False,False,False,False,Vila Maria,rent,-23.507732,-46.584039
7500,1165.0,111,2,4,2,2,True,False,True,False,Vila Olimpia,rent,-23.594329,-46.688316
2000,880.0,78,3,2,1,1,False,False,True,False,Vila Sônia,rent,-23.598648,-46.732406
2300000,480.0,393,3,2,1,1,False,False,False,False,República,sale,-23.5462519,-46.6432651
6400,1170.0,158,3,4,3,2,True,True,True,False,Vila Leopoldina,rent,-23.533022,-46.731577
338000,486.0,77,3,2,1,1,True,False,True,False,Butantã,sale,-23.590909,-46.805169
1300,340.0,52,2,1,0,1,False,False,False,False,Vila Prudente,rent,-23.6027315,-46.5705981
540000,1100.0,60,2,2,1,1,False,False,True,False,Campo Belo,sale,-23.6201612,-46.6795937
210000,300.0,68,2,2,1,1,True,False,False,False,Ponte Rasa,sale,-23.509327,-46.48228
1450,590.0,80,2,2,1,1,False,False,False,False,Liberdade,rent,-23.561493,-46.636223
1300,400.0,42,2,1,0,1,False,False,False,False,Casa Verde,rent,-23.504791,-46.6609889
2100,600.0,49,2,1,0,2,False,True,True,False,Vila Leopoldina,rent,-23.5316334,-46.7304957
550000,500.0,79,2,2,1,1,True,False,True,True,Mooca,sale,-23.580576,-46.586502
498000,493.0,62,2,2,1,2,False,False,True,False,Brás,sale,-23.5528686,-46.615589
2500,960.0,82,3,2,1,0,False,True,True,False,Água Rasa,rent,-23.5608002,-46.5683473
